R5_M,R10_M,AP_M,R5_A,R10_A,AP_A,R5_F,R10_F,AP_F,nDCG_F
0,0,0.0,1,1,1.0,1,1,0.5,0.6309297535714575
0,0,0.0,1,1,1.0,1,1,0.5,0.6309297535714575
0,0,0.0,1,1,1.0,1,1,0.25,0.43067655807339306
0,1,0.1111111111111111,1,1,0.75,1,1,0.30952380952380953,0.5109559939712153
0,0,0.0,1,1,1.0,1,1,0.3333333333333333,0.5
0,0,0.0,1,1,1.0,0,1,0.16666666666666666,0.3562071871080222
0,0,0.0,1,1,1.0,1,1,0.25,0.43067655807339306
0,0,0.0,1,1,1.0,1,1,0.3333333333333333,0.5
0,0,0.0,1,1,1.0,1,1,0.25,0.43067655807339306
1,1,1.0,1,1,1.0,1,1,1.0,1.0
0,0,0.0,1,1,1.0,1,1,0.2,0.38685280723454163
0,1,0.14285714285714285,1,1,1.0,1,1,0.5,0.6309297535714575
0,1,0.16666666666666666,1,1,1.0,1,1,0.3333333333333333,0.5
0,0,0.0,1,1,1.0,0,1,0.16666666666666666,0.3562071871080222
1,1,0.2,1,1,0.9166666666666666,1,1,0.3849206349206349,0.5818889925939541
0,0,0.0,1,1,1.0,1,1,0.3333333333333333,0.5
0,0,0.0,1,1,1.0,1,1,0.25,0.43067655807339306
0,0,0.0,1,1,0.7,1,1,0.5,0.6309297535714575
